work_raw,proposal,confidence,source
"Установка и подключение розеток/включателей , шт.",Монтаж розеток,0.7358057007235181,https://printsipremonta.ru/prais-list/
Отделка стен натуральным камнем,Облицовка камнем,0.7096765873254445,https://nn.korona-remont.ru/prices
Кладка на пол плитки,Плитка на пол,0.7093506319628277,https://nn.korona-remont.ru/prices
Установка розеток,Монтаж розеток,0.6512288940370352,https://mastercity54.ru/prices/
Кладка на пол плитки ПВХ,Плитка на пол,0.6189882859240354,https://nn.korona-remont.ru/prices
