canonical_work,category,unit,region,price,source
Входная дверь,Двери,шт,Регион,162.0,https://nsk.365rem.ru/ceni-na-otdelochnie-raboti.asp
Грунтовка,Стены,м2,Москва,100.0,https://titanremont.ru/price
Грунтовка,Стены,м2,Москва,100.0,https://titanremont.ru/price
Грунтовка,Стены,м2,Москва,100.0,https://titanremont.ru/price
Грунтовка,Стены,м2,Москва,85.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,,Москва,85.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,м2,Москва,55.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,м2,Москва,115.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,м2,Москва,175.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,мп,Москва,145.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,м2,Москва,65.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,м2,Москва,115.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,м2,Москва,80.0,https://kronotech.ru/prays-shtukaturka-sten
Грунтовка,Стены,м2,Регион,50.0,https://remont-nsk54.ru/prajs_list
Грунтовка,Стены,м2,Регион,50.0,https://remont-nsk54.ru/prajs_list
Грунтовка,Стены,м2,Регион,550.0,https://nsk.365rem.ru/ceni-na-otdelochnie-raboti.asp
Грунтовка,Стены,м2,Регион,95.0,https://nsk.365rem.ru/ceni-na-otdelochnie-raboti.asp
Грунтовка,Стены,м2,Регион,410.0,https://nsk.365rem.ru/ceni-na-otdelochnie-raboti.asp
Грунтовка,Стены,м2,Регион,150.0,https://remo154.ru/price_otdelka.php
Грунтовка,Стены,м2,Регион,200.0,https://remo154.ru/price_otdelka.php
Грунтовка,Стены,,Регион,40.0,https://mastercity54.ru/prices/
Грунтовка,Стены,,Регион,50.0,https://mastercity54.ru/prices/
Грунтовка,Стены,,Регион,40.0,https://mastercity54.ru/prices/
Грунтовка,Стены,,Регион,40.0,https://mastercity54.ru/prices/
Грунтовка,Стены,,Регион,150.0,https://mastercity54.ru/prices/
Грунтовка,Стены,,Регион,40.0,https://mastercity54.ru/prices/
Грунтовка,Стены,м2,Регион,80.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,м2,Регион,80.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,м2,Регион,200.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,м2,Регион,80.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,650.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,550.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,550.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,450.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,150.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,120.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,600.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,450.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,450.0,https://printsipremonta.ru/prais-list/
Грунтовка,Стены,мп,Регион,450.0,https://printsipremonta.ru/prais-list/
Демонтаж обоев,Демонтаж,м2,Москва,120.0,https://titanremont.ru/price
Демонтаж обоев,Демонтаж,м2,Москва,120.0,https://titanremont.ru/price
Демонтаж обоев,Демонтаж,м2,Москва,200.0,https://titanremont.ru/price
Демонтаж обоев,Демонтаж,м2,Регион,80.0,https://remont-nsk54.ru/prajs_list
Демонтаж обоев,Демонтаж,м2,Регион,50.0,https://nsk.365rem.ru/ceni-na-otdelochnie-raboti.asp
Демонтаж обоев,Демонтаж,м2,Регион,150.0,https://remo154.ru/price_otdelka.php
Демонтаж обоев,Демонтаж,м2,Регион,100.0,https://remo154.ru/price_otdelka.php
Демонтаж обоев,Демонтаж,,Регион,120.0,https://mastercity54.ru/prices/
Демонтаж обоев,Демонтаж,,Регион,100.0,https://mastercity54.ru/prices/
Демонтаж обоев,Демонтаж,м2,Регион,150.0,https://printsipremonta.ru/prais-list/
Демонтаж обоев,Демонтаж,м2,Регион,200.0,https://printsipremonta.ru/prais-list/
Демонтаж перегородки,Демонтаж,м2,Москва,200.0,https://titanremont.ru/price
Демонтаж перегородки,Демонтаж,м2,Москва,250.0,https://titanremont.ru/price
Демонтаж перегородки,Демонтаж,м2,Москва,350.0,https://titanremont.ru/price
Демонтаж перегородки,Демонтаж,м2,Москва,160.0,https://titanremont.ru/price
Демонтаж перегородки,Демонтаж,м2,Регион,250.0,https://remont-nsk54.ru/prajs_list
Демонтаж перегородки,Демонтаж,м2,Регион,250.0,https://remont-nsk54.ru/prajs_list
